Src IP,Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Flow Packets/s,Average Packet Size,Avg Fwd Segment Size,Init_Win_bytes_forward,act_data_pkt_fwd,Flow IAT Mean,Fwd IAT Mean
192.168.1.50,4971427.732105891,45,40,4028.690745318638,31.52715810248543,179.2580415141551,110.10350480442199,64240,22,121258.34153543852,115459.10895151022
192.168.1.50,5007145.183425084,45,40,4062.343705704065,31.05471674107183,171.23306665455112,107.40489666664374,64240,22,114105.65573988248,124458.88129488737
192.168.1.50,5116063.089524744,45,40,3780.102561457526,31.735896314875603,190.03876807231225,112.03177744264669,64240,22,121664.10294593142,115067.91497001835
192.168.1.50,4709000.442169763,45,40,4013.62300776183,28.414383978607876,173.30849847643526,106.59364778038083,64240,22,113233.18928483695,119480.65624161529
205.174.165.73,992.8637339987988,2,2,0.0,10022.948937716892,0.0,0.0,29200,10,101.94939438268442,994.8795857919469
205.174.165.73,973.3795479596663,2,2,0.0,10594.82996998744,0.0,0.0,29200,10,97.7833266041866,967.5599081929487
205.174.165.73,974.6847936777042,2,2,0.0,10319.545463692488,0.0,0.0,29200,10,98.63816238047121,1054.9650859983776
205.174.165.73,1041.6771727963364,2,2,0.0,9651.660897675534,0.0,0.0,29200,10,105.76430729409152,987.6909265695137
205.174.165.73,948.7646012600437,2,2,0.0,10334.21303041198,0.0,0.0,29200,10,97.99102750556017,1055.6891459912517
205.174.165.73,1030.964862039251,2,2,0.0,9695.665538671756,0.0,0.0,29200,10,103.56425814212768,961.3213753838039
